Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,57.9082516903546
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,4114030
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.167554744526
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Albania,ALB,Population in largest city,EN.URB.LCTY,484624
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.47
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.9303156808402
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368
Algeria,DZA,Population in largest city,EN.URB.LCTY,2729325
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,236.605
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321
American Samoa,ASM,Population in largest city,EN.URB.LCTY,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,162.431914893617
Andorra,AND,"Population, total",SP.POP.TOTL,76343
Andorra,AND,Population in largest city,EN.URB.LCTY,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,25.9513820486083
Angola,AGO,"Population, total",SP.POP.TOTL,32353588
Angola,AGO,Population in largest city,EN.URB.LCTY,8044735
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.5
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,209.356818181818
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117
Antigua and Barbuda,ATG,Population in largest city,EN.URB.LCTY,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.4208266190179
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Argentina,ARG,Population in largest city,EN.URB.LCTY,15057273
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.84
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,99.0727783631893
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602
Armenia,ARM,Population in largest city,EN.URB.LCTY,1083323
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.2
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,591.344444444444
Aruba,ABW,"Population, total",SP.POP.TOTL,106442
Aruba,ABW,Population in largest city,EN.URB.LCTY,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.29435141874306
Australia,AUS,"Population, total",SP.POP.TOTL,25340217
Australia,AUS,Population in largest city,EN.URB.LCTY,4870388
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.16
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.609306834707
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Austria,AUT,Population in largest city,EN.URB.LCTY,1915338
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.56
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,121.280071139933
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
Azerbaijan,AZE,Population in largest city,EN.URB.LCTY,2313138
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7959823608398
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,40.4152847152847
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557
"Bahamas, The",BHS,Population in largest city,EN.URB.LCTY,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1915.62564102564
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188
Bahrain,BHR,Population in largest city,EN.URB.LCTY,600433
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1271.53892601982
Bangladesh,BGD,"Population, total",SP.POP.TOTL,165516222
Bangladesh,BGD,Population in largest city,EN.URB.LCTY,20283552
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,74.6844635009766
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,651.581395348837
Barbados,BRB,"Population, total",SP.POP.TOTL,280180
Barbados,BRB,Population in largest city,EN.URB.LCTY,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.41
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.4107506220284
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belarus,BLR,Population in largest city,EN.URB.LCTY,2016677
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.16
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.8740005493164
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,379.424702774108
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Belgium,BEL,Population in largest city,EN.URB.LCTY,2065284
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.36
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.0580885576502
Belize,BLZ,"Population, total",SP.POP.TOTL,389095
Belize,BLZ,Population in largest city,EN.URB.LCTY,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.05
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,108.996488116353
Benin,BEN,"Population, total",SP.POP.TOTL,12290444
Benin,BEN,Population in largest city,EN.URB.LCTY,991000
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1183.53703703704
Bermuda,BMU,"Population, total",SP.POP.TOTL,63911
Bermuda,BMU,Population in largest city,EN.URB.LCTY,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.1221552176193
Bhutan,BTN,"Population, total",SP.POP.TOTL,767459
Bhutan,BTN,Population in largest city,EN.URB.LCTY,..
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.72
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.8717022062217
Bolivia,BOL,"Population, total",SP.POP.TOTL,11777315
Bolivia,BOL,Population in largest city,EN.URB.LCTY,1835355
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.68
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,65.63888671875
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3360711
Bosnia and Herzegovina,BIH,Population in largest city,EN.URB.LCTY,342743
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.69
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.41074585781589
Botswana,BWA,"Population, total",SP.POP.TOTL,2499702
Botswana,BWA,Population in largest city,EN.URB.LCTY,..
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,20.09
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.3385176606278
Brazil,BRA,"Population, total",SP.POP.TOTL,211782878
Brazil,BRA,Population in largest city,EN.URB.LCTY,21846507
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.94
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,204.066666666667
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30610
British Virgin Islands,VGB,Population in largest city,EN.URB.LCTY,..
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,83.1210626185958
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,438048
Brunei Darussalam,BRN,Population in largest city,EN.URB.LCTY,..
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.6
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,64.2571941783346
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Bulgaria,BGR,Population in largest city,EN.URB.LCTY,1276937
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.23
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,76.5776279239766
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20951639
Burkina Faso,BFA,Population in largest city,EN.URB.LCTY,2652720
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,29.6632804870605
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,462.415809968847
Burundi,BDI,"Population, total",SP.POP.TOTL,11874838
Burundi,BDI,Population in largest city,EN.URB.LCTY,954424
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,143.183622828784
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,577030
Cabo Verde,CPV,Population in largest city,EN.URB.LCTY,..
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.29
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,91.8181849082257
Cambodia,KHM,"Population, total",SP.POP.TOTL,16207746
Cambodia,KHM,Population in largest city,EN.URB.LCTY,2014015
Cambodia,KHM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.5
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,54.5415603647056
Cameroon,CMR,"Population, total",SP.POP.TOTL,25782341
Cameroon,CMR,Population in largest city,EN.URB.LCTY,3822425
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.19394931064213
Canada,CAN,"Population, total",SP.POP.TOTL,37601230
Canada,CAN,Population in largest city,EN.URB.LCTY,6139404
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.69
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,275.558333333333
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,66134
Cayman Islands,CYM,Population in largest city,EN.URB.LCTY,..
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,8.36194420366625
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5209324
Central African Republic,CAF,Population in largest city,EN.URB.LCTY,869599
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,12.8072315756036
Chad,TCD,"Population, total",SP.POP.TOTL,16126866
Chad,TCD,Population in largest city,EN.URB.LCTY,1371524
Chad,TCD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Chad,TCD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,855.606060606061
Channel Islands,CHI,"Population, total",SP.POP.TOTL,169410
Channel Islands,CHI,Population in largest city,EN.URB.LCTY,..
Channel Islands,CHI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,25.6068131566631
Chile,CHL,"Population, total",SP.POP.TOTL,19039485
Chile,CHL,Population in largest city,EN.URB.LCTY,6723516
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.27
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,149.948179684945
China,CHN,"Population, total",SP.POP.TOTL,1407745000
China,CHN,Population in largest city,EN.URB.LCTY,26317104
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.15
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,45.2342550698513
Colombia,COL,"Population, total",SP.POP.TOTL,50187406
Colombia,COL,Population in largest city,EN.URB.LCTY,10779376
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.28
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,95.249267578125
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,425.032778076303
Comoros,COM,"Population, total",SP.POP.TOTL,790986
Comoros,COM,Population in largest city,EN.URB.LCTY,..
Comoros,COM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,39.658097527624
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89906890
"Congo, Dem. Rep.",COD,Population in largest city,EN.URB.LCTY,13743278
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,16.312541727672
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5570733
"Congo, Rep.",COG,Population in largest city,EN.URB.LCTY,2308076
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,99.57955346651
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5084532
Costa Rica,CRI,Population in largest city,EN.URB.LCTY,1378546
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.81
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,82.2250031446541
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26147551
Cote d'Ivoire,CIV,Population in largest city,EN.URB.LCTY,5058550
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.4
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,89.8934173583984
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,72.6405010363805
Croatia,HRV,"Population, total",SP.POP.TOTL,4065253
Croatia,HRV,Population in largest city,EN.URB.LCTY,685233
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.62
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,109.024055876686
Cuba,CUB,"Population, total",SP.POP.TOTL,11316697
Cuba,CUB,Population in largest city,EN.URB.LCTY,2138419
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,354.596846846847
Curacao,CUW,"Population, total",SP.POP.TOTL,157441
Curacao,CUW,Population in largest city,EN.URB.LCTY,..
Curacao,CUW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,132.990909090909
Cyprus,CYP,"Population, total",SP.POP.TOTL,1228836
Cyprus,CYP,Population in largest city,EN.URB.LCTY,..
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.15
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Czechia,CZE,Population density (people per sq. km of land area),EN.POP.DNST,138.226810266108
Czechia,CZE,"Population, total",SP.POP.TOTL,10671870
Czechia,CZE,Population in largest city,EN.URB.LCTY,1298804
Czechia,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.02
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,145.36055
Denmark,DNK,"Population, total",SP.POP.TOTL,5814422
Denmark,DNK,Population in largest city,EN.URB.LCTY,1333888
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.02
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,46.3327868852459
Djibouti,DJI,"Population, total",SP.POP.TOTL,1073994
